sample id,tissue type,boat weight,tissue + bag + paper,pin + paper,final tissue + boat,final bag,final pin,final paper,notes
JUM090919J024,Muscle,1.31,6.52,0.45,2.02,1.99,0.11,0.2,
JUM090919J025,Muscle,1.32,9.42,0.39,2.68,1.95,0.11,0.15,
JUM090919J026,Muscle,1.32,7.32,0.35,2.28,,0.12,0.15,No bag
JUM090919J027,Muscle,1.32,10.82,0.39,2.95,1.99,0.1,0.17,
JUM090919J028,Muscle,1.33,8.4,0.64,2.46,2.02,0.11,0.31,
JUM090919J029,Muscle,1.31,14.1,0.52,3.6,2.01,0.1,0.27,
JUM090919J030,Muscle,1.29,11.74,0.6,3.07,1.99,0.1,0.3,
JUM090919J031,Muscle,1.32,14.35,0.54,3.66,1.99,0.11,0.29,
JUM090919J032,Muscle,1.32,9.02,0.54,2.6,1.99,0.11,0.26,
JUM090919J033,Muscle,1.32,10,0.56,2.78,1.99,0.12,0.24,
JUM090919J034,Muscle,1.32,11.27,0.55,2.95,1.99,0.11,0.22,
JUM090919J035,Muscle,1.32,12.86,0.45,3.31,1.99,0.11,0.2,
JUM090919J036,Muscle,1.31,11.9,0.45,3.22,2.01,0.11,0.19,
JUM090919J037,Muscle,1.33,8.69,0.41,2.56,1.99,0.11,0.18,
JUM090919J038,Muscle,1.3,8.67,0.44,2.46,1.99,0.12,0.18,
JUM090919J039,Muscle,1.33,4.29,0.4,1.65,1.97,0.11,0.18,
JUM090919J040,Muscle,1.32,32.56,0.44,7.31,1.98,0.11,0.18,
JUM090919J041,Muscle,1.31,50.83,0.47,11.41,1.98,0.12,0.18,
JUM090919J042,Muscle,1.33,26.69,0.42,6.27,2.02,0.11,0.17,
JUM090919J043,Muscle,1.33,11.78,0.47,3.14,1.98,0.11,0.18,
JUM090919J044,Muscle,1.32,10.14,0.43,2.78,1.99,0.11,0.19,
JUM090919J045,Muscle,1.29,13.38,0.46,3.36,1.96,0.11,0.2,
JUM090919J046,Muscle,1.32,11.18,0.43,2.95,1.98,0.13,0.19,
JUM090919J047,Muscle,1.31,10.68,0.47,2.84,1.99,0.11,0.19,
JUM090919J048,Muscle,1.31,9.06,0.4,2.55,1.98,0.11,0.17,
JUM090919J049,Muscle,1.29,10.08,0.34,2.76,1.99,0.11,0.17,
JUM090919J050,Muscle,1.31,12.13,0.45,2.09,1.99,0.11,0.18,
JUM090919J051,Muscle,1.32,10.55,0.42,2.84,2,0.11,0.17,
JUM090919J052,Muscle,1.3,8.39,0.4,2.39,1.99,0.11,0.17,
JUM090919J053,Muscle,1.29,11.68,0.41,3.07,1.98,0.11,0.17,
JUM090919J054,Muscle,1.29,14.7,0.51,3.67,1.97,0.11,0.21,
JUM090919J055,Muscle,1.32,11.47,0.42,2.97,1.98,0.11,0.17,
JUM090919J056,Muscle,1.33,8.97,8.18,2.54,1.99,0.11,0.2,
JUM090919J057,Muscle,1.31,7.46,0.39,2.17,1.99,0.11,0.16,
JUM090919J058,Muscle,1.32,11.87,0.57,3.1,1.99,0.11,0.27,
JUM090919J059,Muscle,1.32,11.93,0.63,3.09,1.99,0.11,0.28,
JUM090919J060,Muscle,1.33,7.73,0.52,2.32,2.01,0.11,0.28,
JUM090919J061,Muscle,1.31,9.67,0.59,2.7,1.99,0.11,0.31,
JUM090919J062,Muscle,1.32,12.47,0.52,3.29,2.02,0.11,0.29,
JUM090919J063,Muscle,131,10.22,0.59,2.82,1.99,0.11,0.26,
JUM090919J064,Muscle,1.31,10.58,0.38,2.78,1.97,0.11,0.17,
JUM090919J065,Muscle,1.32,9.09,0.38,2.5,2,0.12,0.18,
JUM090919J066,Muscle,1.31,8.7,0.38,2.43,2.02,0.11,0.16,
JUM090919J067,Muscle,1.31,9.89,0.43,2.69,2.01,0.11,0.17,
JUM090919J068,Muscle,1.3,10.88,0.41,2.85,1.99,0.11,0.16,
JUM090919J069,Muscle,1.3,9.25,0.38,2.59,1.99,0.11,0.16,
JUM090919J070,Muscle,1.3,11.71,0.48,3.06,1.99,0.11,0.2,
JUM090919J071,Muscle,1.29,10.12,0.43,2.78,2.01,0.11,0.19,
JUM090919J072,Muscle,1.3,10.28,0.39,2.78,2.02,0.1,0.16,
JUM090919J073,Muscle,1.3,20.12,0.48,4.99,2.02,0.11,0.18,
JUM090919J074,Muscle,1.3,30.5,0.46,7.1,2.04,0.11,0.18,
JUM090919J075,Muscle,1.3,12,0.33,3.11,2.02,0.11,0.16,
JUM090919J076,Muscle,1.33,8.81,0.38,2.53,2.04,0.11,0.17,
JUM090919J077,Muscle,1.32,10.66,0.4,2.83,2,0.11,0.18,
JUM090919J078,Muscle,1.31,7.98,0.48,2.31,2.01,0.12,0.19,
JUM090919J079,Muscle,1.31,9.3,0.31,2.54,2.01,0.11,0.17,
JUM090919J080,Muscle,1.31,11.02,0.31,2.98,1.99,0.11,0.15,
JUM090919J081,Muscle,1.3,9.19,0.41,2.54,2.01,0.11,0.18,
JUM090919J082,Muscle,1.31,9.61,0.47,2.67,2.01,0.11,0.18,
JUM090919J083,Muscle,1.32,7.65,0.38,2.25,1.99,0.11,0.14,
JUM090919J084,Muscle,1.3,10.13,0.46,2.71,1.99,0.11,0.18,
JUM090919J085,Muscle,1.3,9.29,0.42,2.89,2.02,0.11,0.18,
JUM090919J086,Muscle,1.31,10.75,0.47,2.58,1.99,0.11,0.18,
JUM090919J087,Muscle,1.31,7.82,0.4,2.31,2.01,0.11,0.16,
JUM090919J088,Muscle,1.3,8.28,0.57,2.39,2,0.11,0.28,
JUM090919J089,Muscle,1.3,9.85,0.58,2.6,2.03,0.12,0.26,
JUM090919J090,Muscle,1.29,10.2,0.58,2.7,1.99,0.11,0.3,
JUM090919J091,Muscle,1.3,10.66,0.62,2.82,2.05,0.11,0.29,
JUM090919J092,Muscle,1.3,14.1,0.49,3.44,2.01,0.11,0.24,
JUM090919J093,Muscle,1.3,10.07,0.49,2.65,2.01,0.11,0.25,
JUM090919J094,Muscle,1.3,10.98,0.47,2.8,2.01,0.11,0.19,
JUM090919J095,Muscle,1.31,21.7,0.4,5.22,2.01,0.11,0.16,
JUM090919J096,Muscle,1.31,14.88,0.38,3.62,2.02,0.11,0.18,
JUM090919J097,Muscle,1.31,9.22,0.35,2.52,2.03,0.11,0.17,
JUM090919J098,Muscle,1.31,32.07,0.42,7.65,2.04,0.11,0.18,
JUM090919J099,Muscle,1.32,32.54,0.44,7.49,2.01,0.11,0.17,
JUM090919J100,Muscle,1.31,43.92,0.45,9.56,2.01,0.11,0.18,
JUM090919J101,Muscle,1.29,8.24,0.25,2.44,2.01,0.11,0.09,
JUM090919J102,Muscle,1.3,9.84,0.27,2.68,2.01,0.11,0.13,
JUM090919J103,Muscle,1.32,8,0.22,2.35,1.98,0.11,0.09,
JUM090919J104,Muscle,1.32,7.5,0.25,2.26,1.99,0.11,0.08,
JUM090919J105,Muscle,1.31,8.82,0.18,2.56,1.99,0.11,0.07,
JUM090919J106,Muscle,1.3,8.28,0.22,2.38,1.97,0.11,0.06,
JUM090919J107,Muscle,1.31,7.3,0.21,2.23,1.98,0.11,0.08,
JUM090919J108,Muscle,1.31,10.51,0.18,2.93,1.99,0.11,0.07,
JUM090919J109,Muscle,1.31,21.38,0.27,4.98,1.99,0.11,0.1,
JUM090919J110,Muscle,1.3,11.42,0.29,2.99,1.99,0.11,0.09,
JUM090919J111,Muscle,1.31,12.22,0.29,3.18,1.99,0.11,0.09,
JUM090919J112,Muscle,1.32,11.07,0.26,2.91,1.98,0.11,0.1,
JUM090919J113,Muscle,1.31,8.62,0.27,2.5,1.98,0.11,0.07,
JUM090919J114,Muscle,1.33,6.67,0.21,2.15,1.98,0.11,0.05,
JUM090919J115,Muscle,1.3,33.66,0.25,7.44,1.99,0.11,0.08,
JUM090919J116,Muscle,1.31,14.47,0.26,3.64,2.01,0.11,0.11,
JUM090919J117,Muscle,1.32,12.12,0.18,3.14,2.02,0.11,0.05,
JUM090919J118,Muscle,1.3,11.56,0.44,2.95,1.98,0.11,0.2,
JUM090919J119,Muscle,1.31,13.39,0.4,3.54,2.03,0.11,0.2,
JUM090919J120,Muscle,1.34,11.69,0.34,3.09,1.99,0.11,0.11,
JUM090919J121,Muscle,1.32,10.98,0.26,2.99,2,0.11,0.09,
JUM090919J122,Muscle,1.3,10.31,0.3,2.83,2.01,0.11,0.12,
JUM090919J123,Muscle,1.3,10.45,0.23,2.81,2.02,0.11,0.08,
JUM090919J124,Muscle,1.3,11.46,0.21,3.08,1.98,0.11,0.08,
JUM090919J125,Muscle,1.31,8.12,0.26,2.41,1.98,0.11,0.1,
JUM090919J126,Muscle,1.31,12.66,0.33,3.18,1.99,0.11,0.13,
JUM090919J127,Muscle,1.29,8.59,0.31,2.48,1.99,0.11,0.12,
JUM090919J128,Muscle,1.32,9.8,0.22,2.78,1.99,0.11,0.07,
