runorder,sampleid,tissueid,rep,edid,date_run,sampletype,fishid,sample_wt,unburned_fuse,burned_fuse,temp_rise,gross_heat_b4_correction,corrected_gross_heat
89,NAR033019006,NAR033019006G,2,NAR033019006GED2,20200220,gonad,NAR033019006,0.08211,32,68,0.893,23.5633,23.5281
16,NAR033019004,NAR033019004G,3,NAR033019004GED3,20200128,gonad,NAR033019004,0.17763,42,58,2.1815,27.1179,27.1559
56,NAR033019004,NAR033019004G,1,NAR033019004GED1,20200218,gonad,NAR033019004,0.12722,32,68,1.5607,26.9477,26.925
57,NAR033019004,NAR033019004G,2,NAR033019004GED2,20200218,gonad,NAR033019004,0.1741,40,60,2.1428,27.17,27.1976
32,NAR033019003,NAR033019003G,3,NAR033019003GED3,20200207,gonad,NAR033019003,0.06584,43,57,0.7144,23.3193,23.4363
79,NAR033019003,NAR033019003G,1,NAR033019003GED1,20200219,gonad,NAR033019003,0.08984,41,59,0.9401,22.8351,22.8998
80,NAR033019003,NAR033019003G,2,NAR033019003GED2,20200219,gonad,NAR033019003,0.09247,36,64,0.9745,22.8959,22.9063
12,NAR033019002,NAR033019002G,3,NAR033019002GED3,20200124,gonad,NAR033019002,0.18567,41,59,2.2525,26.7985,26.8297
52,NAR033019002,NAR033019002G,1,NAR033019002GED1,20200218,gonad,NAR033019002,0.13585,36,64,1.6672,26.9903,26.9974
53,NAR033019002,NAR033019002G,2,NAR033019002GED2,20200218,gonad,NAR033019002,0.17467,33,67,2.1002,26.5359,26.5248
11,NAR032919024,NAR032919024G,3,NAR032919024GED3,20200124,gonad,NAR032919024,0.17222,38,62,2.0697,26.5172,26.534
50,NAR032919024,NAR032919024G,1,NAR032919024GED1,20200218,gonad,NAR032919024,0.15446,36,64,1.8999,27.1077,27.114
51,NAR032919024,NAR032919024G,2,NAR032919024GED2,20200218,gonad,NAR032919024,0.19128,15,85,2.3019,26.5899,26.4892
7,NAR032919014,NAR032919014G,3,NAR032919014GED3,20200123,gonad,NAR032919014,0.16517,31,69,1.978,26.4072,26.3839
45,NAR032919014,NAR032919014G,1,NAR032919014GED1,20200217,gonad,NAR032919014,0.18018,34,66,2.1575,29.0753,29.0694
46,NAR032919014,NAR032919014G,2,NAR032919014GED2,20200217,gonad,NAR032919014,0.17005,30,70,2.2701,29.4918,29.4634
99,NAR032919009,NAR032919009G,3,NAR032919009GED3,20200220,gonad,NAR032919009,0.04252,32,68,0.3798,21.3014,21.2232
100,NAR032919009,NAR032919009G,1,NAR032919009GED1,20200220,gonad,NAR032919009,0.04252,46,54,0.43,21.1462,21.3953
36,NAR032919007,NAR032919007G,2,NAR032919007GED2,20200214,gonad,NAR032919007,0.0458,32,68,0.4302,19.6411,19.578
92,NAR032919001,NAR032919001G,3,NAR032919001GED3,20200220,gonad,NAR032919001,0.05108,54,46,0.552,22.9444,23.3026
93,NAR032919001,NAR032919001G,1,NAR032919001GED1,20200220,gonad,NAR032919001,0.06341,38,62,0.676,22.8589,22.9045
28,NAR032819003,NAR032819003G,2,NAR032819003GED2,20200131,gonad,NAR032819003,0.16129,34,66,1.9282,26.3518,26.3458
74,NAR032819003,NAR032819003G,3,NAR032819003GED3,20200219,gonad,NAR032819003,0.17085,31,69,2.1148,27.3206,27.2981
75,NAR032819003,NAR032819003G,1,NAR032819003GED1,20200219,gonad,NAR032819003,0.18005,33,67,2.1486,26.3437,26.333
15,NAR032819001,NAR032819001G,2,NAR032819001GED2,20200128,gonad,NAR032819001,0.17763,28,72,2.1364,26.3644,26.3267
54,NAR032819001,NAR032819001G,3,NAR032819001GED3,20200218,gonad,NAR032819001,0.17731,14,86,2.1471,26.7331,26.619
55,NAR032819001,NAR032819001G,1,NAR032819001GED1,20200218,gonad,NAR032819001,0.17504,13,87,2.1131,26.6453,26.5243
63,NAR032719004,NAR032719004G,2,NAR032719004GED2,20200218,gonad,NAR032719004,0.0399,26,74,0.4517,23.7526,23.5354
87,NAR032719004,NAR032719004G,3,NAR032719004GED3,20200220,gonad,NAR032719004,0.02431,46,54,0.2669,21.9847,22.4205
41,NAR032619016,NAR032619016G,1,NAR032619016GED1,20200217,gonad,NAR032619016,0.03123,32,68,0.3486,22.9649,22.8724
85,NAR032619016,NAR032619016G,2,NAR032619016GED2,20200220,gonad,NAR032619016,0.04294,52,48,0.452,22.0889,22.4702
10,NAR032619014,NAR032619014G,3,NAR032619014GED3,20200124,gonad,NAR032619014,0.15618,30,70,1.9056,26.8906,26.8598
48,NAR032619014,NAR032619014G,1,NAR032619014GED1,20200218,gonad,NAR032619014,0.18186,21,79,2.2318,27.1055,27.0314
49,NAR032619014,NAR032619014G,2,NAR032619014GED2,20200218,gonad,NAR032619014,0.21135,43,57,2.6049,27.2723,27.3087
101,NAR032619013,NAR032619013G,3,NAR032619013GED3,20200220,gonad,NAR032619013,0.04021,35,65,0.4573,23.8823,23.8823
102,NAR032619013,NAR032619013G,1,NAR032619013GED1,20200220,gonad,NAR032619013,0.04626,33,67,0.5085,23.235,23.1933
95,NAR032619006,NAR032619006G,2,NAR032619006GED2,20200220,gonad,NAR032619006,0.0658,28,72,0.7006,22.863,22.7606
96,NAR032619006,NAR032619006G,3,NAR032619006GED3,20200220,gonad,NAR032619006,0.0624,33,67,0.6725,23.1044,23.0735
40,NAR032619001,NAR032619001G,1,NAR032619001GED1,20200217,gonad,NAR032619001,0.09632,36,64,1.184,26.8456,26.8556
81,NAR032619001,NAR032619001G,2,NAR032619001GED2,20200219,gonad,NAR032619001,0.10693,45,55,1.3189,27.0027,27.0928
82,NAR032619001,NAR032619001G,3,NAR032619001GED3,20200219,gonad,NAR032619001,0.10952,42,58,1.3487,26.9741,27.0357
66,NAR032419008,NAR032419008G,1,NAR032419008GED1,20200218,gonad,NAR032419008,0.03972,36,34,0.4311,22.7023,22.7266
65,NAR032419006,NAR032419006G,2,NAR032419006GED2,20200218,gonad,NAR032419006,0.05768,31,69,0.6747,25.0789,25.0121
90,NAR032419006,NAR032419006G,3,NAR032419006GED3,20200220,gonad,NAR032419006,0.06071,20,80,0.7235,25.6242,25.3863
91,NAR032419006,NAR032419006G,1,NAR032419006GED1,20200220,gonad,NAR032419006,0.07766,34,66,0.9118,25.4545,25.4421
22,NAR032419003,NAR032419003G,2,NAR032419003GED2,20200130,gonad,NAR032419003,0.18139,46,54,2.1212,25.8118,25.8702
61,NAR032419003,NAR032419003G,3,NAR032419003GED3,20200218,gonad,NAR032419003,0.14534,43,57,1.6838,25.4825,25.5355
62,NAR032419003,NAR032419003G,1,NAR032419003GED1,20200218,gonad,NAR032419003,0.11792,32,68,1.3813,25.6694,25.6449
35,NAR032119004,NAR032119004G,2,NAR032119004GED2,20200214,gonad,NAR032119004,0.073,33,67,0.8973,26.6355,26.6091
19,NAR032019004,NAR032019004G,3,NAR032019004GED3,20200129,gonad,NAR032019004,0.17382,53,47,2.0729,26.3144,26.4141
60,NAR032019004,NAR032019004G,1,NAR032019004GED1,20200218,gonad,NAR032019004,0.16139,44,56,1.9782,27.0289,27.0826
59,NAR032019004,NAR032019004G,2,NAR032019004GED2,20200218,gonad,NAR032019004  ,0.18911,38,62,2.3171,27.0748,27.0901
1,BA012220-001,,,ED,20200122,standard,NA,0.20556,35,65,2.4299,26.1361,26.1361
2,BA012220-002,,,ED,20200122,standard,NA,0.21418,39,61,2.5316,NA,26.1645
4,BA012320-001,,,ED,20200123,standard,NA,0.21309,35,65,2.5227,26.1861,26.1861
5,BA012320-002,,,ED,20200123,standard,NA,0.18676,35,65,2.2181,26.2206,26.2306
8,BA012420-001,,,ED,20200124,standard,NA,0.19969,37,63,2.3648,26.1754,26.185
9,BA012420-002,,,ED,20200124,standard,NA,0.20067,35,65,2.3788,26.2027,26.2027
13,BA012820-001,,,ED,20200128,standard,NA,0.20012,37,63,2.3791,26.2787,26.2883
14,BA012820-002,,,ED,20200128,standard,NA,0.19767,38,62,2.3427,26.1923,26.2069
17,BA012920-001,,,ED,20200129,standard,NA,0.20483,37,63,2.4239,26.1636,26.173
18,BA012920-002,,,ED,20200129,standard,NA,0.19561,36,64,2.3169,26.1734,26.1784
20,BA013020-001,,,ED,20200130,standard,NA,0.19329,35,65,2.3034,26.3309,26.3309
21,BA013020-002,,,ED,20200130,standard,NA,0.20481,37,63,2.4331,26.2606,26.276
25,BA013120-001,,,ED,20200131,standard,NA,0.20511,33,67,2.4363,26.2633,26.2539
26,BA013120-002,,,ED,20200131,standard,NA,0.19445,33,67,2.2979,26.1113,26.1014
29,BA020720-001,,,ED,20200207,standard,NA,0.2007,37,63,2.3823,26.2384,26.248
30,BA020720-002,,,ED,20200207,standard,NA,0.20861,36,64,2.4745,26.2314,26.236
33,BA021420-001,,,ED,20200214,standard,NA,0.20635,30,70,2.4486,26.2381,26.2147
34,BA021420-002,,,ED,20200214,standard,NA,0.2074,34,66,2.4571,26.1973,26.1927
37,BA021720-001,,,ED,20200217,standard,NA,0.20564,34,66,2.4394,26.2289,26.2242
47,BA021820-001,,,ED,20200218,standard,NA,0.20989,16,84,2.5006,26.3503,26.2631
58,BA021820-002,,,ED,20200218,standard,NA,0.21023,39,61,2.4844,26.1352,26.1535
67,BA021920-001,,,ED,20200219,standard,NA,0.20763,26,74,2.4518,26.1108,26.069
78,BA021920-002,,,ED,20200219,standard,NA,0.20142,58,42,2.3773,26.0889,26.1988
84,BA022020-001,,,ED,20200220,standard,NA,0.20301,38,62,2.4128,26.2761,26.2903
94,BA022020-002,,,ED,20200220,standard,NA,0.19378,31,69,2.2871,26.0764,26.0565
