predator_id,prey_count,empty?,analyzed_date,analyzed_by,prey_id,prey_taxon,measurement_type,vert_count,prey_length,saved_for_iso?,ww,dw,comments
NAR071918001,1,N,20200708,CJF,NAR071918001CRAY02,CRAY,carapace,,26,N,,,
NAR071918001,1,N,20200708,CJF,NAR071918001CRAY03,CRAY,carapace,,24.9,N,,,
NAR071718009,1,N,20200708,CJF,NAR071718009YPE01,YPE,pbbl,,35.4,N,,,
NAR071718009,1,N,20200708,CJF,NAR071718009YPE02,YPE,pbbl,,33.3,N,,,
NAR071718015,1,N,20200708,CJF,NAR071718015CRAY01,CRAY,carapace,,42.6,N,,,
NAR071918023,1,N,20200706,CJF,NAR071918023YPE01,YPE,bbl,,38,,,,
NAR071918023,1,N,20200706,CJF,NA,CRAY,NA,,NA,N,,,too digested to measure
NAR071918034,0,Y,20200707,NGA,NA,NA,NA,,,N,,,
NAR071918032,1,N,20200707,NGA,NAR071918032CRAY01,CRAY,carapace,,33,N,,,
NAR071918024,1,N,20200707,NGA,NAR071918024CRAY01,CRAY,NA,,NA,N,,,
NAR071918031,0,Y,20200707,NGA,NA,NA,NA,,NA,N,,,
NAR071918035,0,Y,20200707,NGA,NA,NA,NA,,NA,N,,,
NAR071918020,1,N,20200707,NGA,NAR071918020CRAY01,CRAY,NA,,NA,N,,,
NAR071918019,1,N,20200707,NGA,NAR071918019CRAY01,CRAY,NA,,NA,N,,,
NAR071918017,0,Y,20200707,NGA,NA,NA,NA,,NA,N,,,
NAR071918030,1,N,20200707,NGA,NAR071918030CRAY01,CRAY,NA,,NA,N,,,
NAR071918030,1,N,20200707,NGA,NAR071918030UNK_FISH01,UNK_FISH,bbl,,38,N,,,
NAR071918030,1,N,20200707,NGA,NAR071918030UNK_FISH01,UNK_FISH,bbl,,50,N,,,
NAR071918033,0,Y,20200707,NGA,NA,NA,NA,,NA,N,,,
NAR071918029,1,N,20200707,NGA,NAR071918029CRAY01,CRAY,carapace,,37,N,,,
NAR071918022,1,N,20200707,NGA,NAR071918022CRAY01,CRAY,NA,,NA,N,,,
NAR071918036,1,N,20200707,CJF,NAR071918036CRAY01,CRAY,carapace,,46.8,N,,,
NAR071918036,1,N,20200707,CJF,NAR071918036CRAY02,CRAY,carapace,,32.3,N,,,
NAR071918036,1,N,20200707,CJF,NAR071918036CRAY03,CRAY,carapace,,41.6,N,,,
NAR071918036,1,N,20200707,CJF,NAR071918036CRAY04,CRAY,carapace,,35.4,N,,,
NAR071918036,1,,20200707,CJF,NAR071918036YPE01,YPE,bbl,,48.9,N,,,
NAR071918025,0,Y,20200707,CJF,NA,NA,NA,,NA,N,,,
NAR071918026,1,N,20200707,CJF,NAR071918026CRAY01,CRAY,NA,,NA,N,,,
NAR071918027,0,Y,20200707,CJF,NA,NA,NA,,NA,N,,,
NAR071918028,0,Y,20200707,CJF,NA,NA,NA,,NA,N,,,
NAR071918018,1,N,20200707,CJF,NAR071918018CRAY01,CRAY,carapace,,30.2,N,,,
NAR071918018,1,N,20200707,CJF,NAR071918018CRAY02,CRAY,carapace,,23.9,N,,,
NAR071918018,1,N,20200707,CJF,NAR071918018YPE01,YPE,bbl,,51.2,Y,,,
NAR071918018,1,N,20200707,CJF,NAR071918018YPE02,YPE,bbl,,59.3,Y,,,
NAR071918018,1,N,20200707,CJF,NAR071918018YPE03,YPE,bbl,,54.1,Y,,,
NAR071918021,1,N,20200707,CJF,NAR071918021CRAY01,CRAY,NA,,NA,N,,,
